Designator,Mid X,Mid Y,Layer,Rotation
C2,-105.75,-40,Top,0
C3,11.25,-85.5,Top,270
C4,-10.25,-85.5,Top,270
C5,-10.25,-76.5,Top,90
C6,24.5,-93,Top,90
C7,57,-93,Top,90
C8,-46.5,-90.5,Top,90
C9,1.75,-52.75,Top,270
C10,2,-46,Top,90
C11,11.25,-54.25,Top,270
C12,24.5,-46.75,Top,270
C13,-140.92,-29.54,Top,180
C14,-140.92,-38.43,Top,180
C15,-140.92,-47.32,Top,180
C16,-140.92,-56.21,Top,180
C17,-140.92,-65.1,Top,180
C18,-140.92,-73.99,Top,0
C19,-130.76,-73.99,Top,0
C20,-128.22,-71.45,Top,0
C21,-125.68,-73.99,Top,0
C22,-128.22,-46.05,Top,0
C23,-128.22,-43.51,Top,0
C24,-121.87,-52.4,Top,0
C25,-121.87,-54.94,Top,0
C26,57,-47.25,Top,270
C27,-105.5,-45.25,Top,0
C28,-46.5,-31.25,Top,90
C29,-23,-60.5,Top,270
C30,-11,-60.75,Top,270
C52,-10.25,-36,Top,270
C53,-10.25,-45.5,Top,270
C54,11.5,-35.75,Top,270
C55,24.75,-28.25,Top,270
C56,57,-28.25,Top,270
C58,1.75,-74.25,Top,270
C59,1.75,-66.25,Top,90
C60,11.25,-66.5,Top,270
C61,24.5,-74,Top,90
C62,57,-74,Top,90
D1,29.25,-91.25,Top,90
D2,-152.35,-29.54,Top,270
D3,-152.35,-42.24,Top,270
D4,-152.35,-54.94,Top,270
D5,-152.35,-67.64,Top,270
D6,-152.35,-80.34,Top,270
D7,-125.68,-63.83,Top,180
D8,52.25,-91.25,Top,90
D9,29.25,-48.5,Top,270
D10,52.25,-49,Top,270
D19,29.25,-30,Top,270
D20,52.25,-30,Top,270
D21,29.25,-72.25,Top,90
D22,52.25,-72.25,Top,90
IC1,135.75,-32.75,Top,180
IC2,61.75,-69,Top,180
IC3,135.75,-88.5,Top,180
IC4,61.75,-52,Top,180
IC5,61.75,-32.75,Top,180
IC6,80.25,-69.25,Top,180
IC7,61.5,-88.5,Top,180
IC8,80.25,-52,Top,180
IC9,80.25,-32.75,Top,180
IC10,98.75,-69.25,Top,180
IC11,80.25,-88.5,Top,180
IC12,98.75,-52,Top,180
IC13,98.75,-32.75,Top,180
IC14,117.25,-69.25,Top,180
IC15,98.75,-88.5,Top,180
IC16,117.25,-52,Top,180
IC17,117.25,-32.75,Top,180
IC18,135.75,-69.25,Top,180
IC19,117.25,-88.5,Top,180
IC20,135.75,-52,Top,180
IC21,17.75,-89.25,Top,90
IC22,17.75,-50.5,Top,270
IC23,18,-32,Top,270
IC24,17.75,-70.25,Top,90
IC25,-41.75,-90.5,Top,180
IC26,-41.75,-31.25,Top,180
IC27,-16.5,-60.75,Top,180
L2,-38,-60.5,Top,180
Q1,-157.43,-33.35,Top,90
Q2,-157.43,-46.05,Top,90
Q3,-157.43,-58.75,Top,90
Q4,-157.43,-71.45,Top,90
Q5,-157.43,-85.42,Top,90
Q6,146,-36.75,Top,270
